"Regionsnavn","Aldersgruppe","sex","Antal første vacc.","Antal faerdigvacc."
Hovedstaden,0-9,K,4,1
Hovedstaden,0-9,M,1,0
Hovedstaden,10-19,K,14662,580
Hovedstaden,10-19,M,13427,413
Hovedstaden,20-29,K,20026,12997
Hovedstaden,20-29,M,14285,8274
Hovedstaden,30-39,K,15629,13971
Hovedstaden,30-39,M,11806,10766
Hovedstaden,40-49,K,51491,18864
Hovedstaden,40-49,M,44305,8846
Hovedstaden,50-59,K,103987,22998
Hovedstaden,50-59,M,101828,11893
Hovedstaden,60-69,K,86426,65602
Hovedstaden,60-69,M,81602,58448
Hovedstaden,70-79,K,82037,80539
Hovedstaden,70-79,M,68934,67586
Hovedstaden,80-89,K,37676,37135
Hovedstaden,80-89,M,25376,25017
Hovedstaden,90+,K,8928,8724
Hovedstaden,90+,M,3300,3238
Midtjylland,0-9,K,0,0
Midtjylland,0-9,M,3,0
Midtjylland,10-19,K,6079,717
Midtjylland,10-19,M,5231,341
Midtjylland,20-29,K,11651,9896
Midtjylland,20-29,M,5447,4602
Midtjylland,30-39,K,12184,10689
Midtjylland,30-39,M,6004,5211
Midtjylland,40-49,K,27361,15350
Midtjylland,40-49,M,18681,5994
Midtjylland,50-59,K,74683,18972
Midtjylland,50-59,M,72516,7218
Midtjylland,60-69,K,72590,31758
Midtjylland,60-69,M,70593,24461
Midtjylland,70-79,K,64085,62138
Midtjylland,70-79,M,59599,57563
Midtjylland,80-89,K,28910,28505
Midtjylland,80-89,M,22247,21937
Midtjylland,90+,K,6654,6515
Midtjylland,90+,M,2964,2910
Nordjylland,0-9,K,1,0
Nordjylland,0-9,M,0,0
Nordjylland,10-19,K,517,256
Nordjylland,10-19,M,360,121
Nordjylland,20-29,K,5022,4047
Nordjylland,20-29,M,2604,1978
Nordjylland,30-39,K,5207,4780
Nordjylland,30-39,M,2394,2199
Nordjylland,40-49,K,8395,6742
Nordjylland,40-49,M,4164,2479
Nordjylland,50-59,K,30575,9028
Nordjylland,50-59,M,28594,3105
Nordjylland,60-69,K,34873,13897
Nordjylland,60-69,M,33779,10398
Nordjylland,70-79,K,31626,30574
Nordjylland,70-79,M,29882,28818
Nordjylland,80-89,K,14681,14477
Nordjylland,80-89,M,11419,11270
Nordjylland,90+,K,3353,3295
Nordjylland,90+,M,1565,1536
Sjælland,0-9,K,0,0
Sjælland,0-9,M,1,1
Sjælland,10-19,K,6161,363
Sjælland,10-19,M,5859,222
Sjælland,20-29,K,4844,3868
Sjælland,20-29,M,2771,1975
Sjælland,30-39,K,6951,6059
Sjælland,30-39,M,3309,2850
Sjælland,40-49,K,22121,10118
Sjælland,40-49,M,16753,3826
Sjælland,50-59,K,52946,12751
Sjælland,50-59,M,51687,5135
Sjælland,60-69,K,51187,20783
Sjælland,60-69,M,49394,16733
Sjælland,70-79,K,49373,47260
Sjælland,70-79,M,45205,43191
Sjælland,80-89,K,20871,20346
Sjælland,80-89,M,16066,15710
Sjælland,90+,K,4369,4258
Sjælland,90+,M,1879,1831
Syddanmark,0-9,K,1,1
Syddanmark,0-9,M,1,0
Syddanmark,10-19,K,3690,575
Syddanmark,10-19,M,3362,333
Syddanmark,20-29,K,8290,7162
Syddanmark,20-29,M,4041,3518
Syddanmark,30-39,K,10060,9083
Syddanmark,30-39,M,5025,4532
Syddanmark,40-49,K,23915,13931
Syddanmark,40-49,M,16339,5809
Syddanmark,50-59,K,66564,17407
Syddanmark,50-59,M,64409,7474
Syddanmark,60-69,K,71425,26799
Syddanmark,60-69,M,69697,21530
Syddanmark,70-79,K,65019,62827
Syddanmark,70-79,M,60144,57828
Syddanmark,80-89,K,31091,30549
Syddanmark,80-89,M,23651,23250
Syddanmark,90+,K,7147,6981
Syddanmark,90+,M,3077,3017
