"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,203267,113886,31.8,17.8,638879
Frederiksberg,42555,25513,41.3,24.8,102982
Ballerup,22720,13260,46.3,27.0,49033
Brøndby,15610,9271,44.0,26.2,35444
Dragør,7754,4535,53.2,31.1,14584
Gentofte,37451,20844,50.4,28.1,74253
Gladsaxe,29625,17030,43.0,24.7,68893
Glostrup,10434,6165,44.4,26.2,23497
Herlev,12847,7798,44.6,27.1,28798
Albertslund,11624,6836,42.8,25.2,27140
Hvidovre,23218,13567,43.6,25.5,53247
Høje Tåstrup,22290,12631,42.5,24.1,52395
Lyngby-Taarbæk,26959,15258,47.2,26.7,57060
Rødovre,17685,10425,42.9,25.3,41203
Ishøj,9108,5345,39.5,23.2,23057
Tårnby,19692,11304,46.1,26.5,42687
Vallensbæk,7324,4302,44.2,26.0,16566
Furesø,20519,11865,49.9,28.8,41132
Allerød,13276,7343,51.2,28.3,25926
Fredensborg,20556,12549,50.1,30.6,41003
Helsingør,32033,20285,50.7,32.1,63127
Hillerød,25257,14751,48.6,28.4,51976
Hørsholm,13931,8564,56.2,34.5,24804
Rudersdal,29346,16751,51.4,29.3,57125
Egedal,21597,11465,49.0,26.0,44050
Frederikssund,24721,14456,54.0,31.6,45769
Greve,22182,12677,43.8,25.0,50668
Køge,27415,14768,44.5,24.0,61621
Halsnæs,16932,11159,53.8,35.5,31463
Roskilde,40663,21235,45.8,23.9,88870
Solrød,10175,5563,43.4,23.7,23463
Gribskov,22870,14459,55.5,35.1,41202
Odsherred,18714,10760,56.8,32.7,32950
Holbæk,36380,18428,50.3,25.5,72333
Faxe,17285,9126,46.8,24.7,36934
Kalundborg,24909,12454,51.5,25.7,48394
Ringsted,14567,7263,41.6,20.7,35039
Slagelse,39461,20603,49.6,25.9,79513
Stevns,11313,6357,48.6,27.3,23269
Sorø,15237,7585,50.9,25.3,29934
Lejre,14038,7459,49.4,26.2,28440
Lolland,21793,11483,54.0,28.5,40338
Næstved,40388,20745,48.4,24.9,83429
Guldborgsund,33433,17860,55.3,29.6,60413
Vordingborg,23794,12914,52.5,28.5,45290
Bornholm,24529,14275,61.6,35.9,39788
Middelfart,18128,10807,46.0,27.4,39399
Assens,19517,10899,47.8,26.7,40828
Faaborg-Midtfyn,24627,14030,47.6,27.1,51726
Kerteminde,11808,6813,49.5,28.6,23863
Nyborg,14712,8585,45.9,26.8,32042
Odense,80030,47104,39.1,23.0,204881
Svendborg,28360,16624,48.2,28.2,58862
Nordfyn,14022,7862,47.4,26.6,29575
Langeland,6824,4053,55.3,32.8,12343
Ærø,3209,2193,53.4,36.5,6005
Haderslev,23010,12915,41.5,23.3,55393
Billund,10978,6264,41.4,23.6,26542
Sønderborg,35327,18228,47.9,24.7,73734
Tønder,16667,8789,45.0,23.7,37010
Esbjerg,55188,29296,47.8,25.4,115516
Fanø,2108,1224,61.1,35.5,3448
Varde,24634,12894,49.5,25.9,49723
Vejen,17041,9991,39.8,23.3,42801
Aabenraa,26833,13491,45.8,23.0,58547
Fredericia,21738,12863,42.3,25.0,51443
Horsens,37140,20665,39.9,22.2,92987
Kolding,35138,20672,37.8,22.2,93042
Vejle,47049,27009,39.9,22.9,117903
Herning,38523,21690,43.1,24.3,89351
Holstebro,26159,14724,44.6,25.1,58629
Lemvig,10514,5819,53.9,29.8,19520
Struer,10688,6050,51.4,29.1,20814
Syddjurs,21547,11882,49.6,27.3,43464
Norddjurs,18311,10462,49.5,28.3,36990
Favrskov,21030,11296,43.3,23.2,48605
Odder,11202,6190,48.6,26.9,23043
Randers,41982,23834,42.6,24.2,98465
Silkeborg,41685,23159,43.3,24.1,96263
Samsø,2324,1459,62.8,39.5,3698
Skanderborg,27274,14302,42.8,22.4,63744
Århus,127696,68888,36.2,19.5,352439
Ikast-Brande,18058,10099,43.3,24.2,41687
Ringkøbing-Skjern,27293,14368,48.5,25.5,56299
Hedensted,20793,11425,44.3,24.3,46944
Morsø,9750,5766,48.6,28.7,20081
Skive,22251,13021,49.1,28.8,45283
Thisted,19812,11499,46.0,26.7,43109
Viborg,43012,25444,44.5,26.3,96640
Brønderslev,15040,9096,41.7,25.2,36080
Frederikshavn,28581,17664,48.5,30.0,58968
Vesthimmerland,16610,10150,45.7,27.9,36357
Læsø,1410,834,79.3,46.9,1777
Rebild,12139,7291,39.8,23.9,30537
Mariagerfjord,18919,11347,45.5,27.3,41553
Jammerbugt,16428,9769,43.0,25.6,38195
Aalborg,81873,47997,37.3,21.9,219552
Hjørring,28449,17587,44.4,27.5,64050
